School,win,loss,win_percent
Air Force,10,3,76.9
Akron,2,10,16.7
Alabama,13,2,86.7
Alabama at Birmingham,9,4,69.2
Appalachian State,9,3,75.0
Arizona,1,11,8.3
Arizona State,2,10,16.7
Arkansas,9,4,69.2
Arkansas State,2,10,16.7
Army,9,4,69.2
Auburn,6,7,46.2
Ball State,6,7,46.2
Boise State,7,5,58.3
Boston College,6,6,50.0
Bowling Green,4,8,33.3
Buffalo,4,8,33.3
California,5,7,41.7
Central Florida,9,4,69.2
Central Michigan,9,4,69.2
Charlotte,5,7,41.7
Cincinnati,13,1,92.9
Clemson,10,3,76.9
Coastal Carolina,11,2,84.6
Colorado,4,8,33.3
Colorado State,3,9,25.0
Connecticut,1,11,8.3
Duke,3,9,25.0
East Carolina,7,5,58.3
Eastern Michigan,7,6,53.8
Florida,6,7,46.2
Florida Atlantic,5,7,41.7
Florida International,1,11,8.3
Florida State,5,7,41.7
Fresno State,10,3,76.9
Georgia,14,1,93.3
Georgia Southern,3,9,25.0
Georgia State,8,5,61.5
Georgia Tech,3,9,25.0
Hawaii,6,7,46.2
Houston,12,2,85.7
Illinois,5,7,41.7
Indiana,2,10,16.7
Iowa,10,4,71.4
Iowa State,7,6,53.8
Kansas,2,10,16.7
Kansas State,8,5,61.5
Kent State,7,7,50.0
Kentucky,10,3,76.9
Liberty,8,5,61.5
Louisiana Tech,3,9,25.0
Louisiana-Lafayette,13,1,92.9
Louisiana-Monroe,4,8,33.3
Louisville,6,7,46.2
LSU,6,7,46.2
Marshall,7,6,53.8
Maryland,7,6,53.8
Massachusetts,1,11,8.3
Memphis,6,6,50.0
Miami (Fla.),7,5,58.3
Miami (Ohio),7,6,53.8
Michigan,12,2,85.7
Michigan State,11,2,84.6
Middle Tennessee,7,6,53.8
Minnesota,9,4,69.2
Mississippi,10,3,76.9
Mississippi State,7,6,53.8
Missouri,6,7,46.2
Navy,4,8,33.3
Nebraska,3,9,25.0
Nevada,8,5,61.5
Nevada-Las Vegas,2,10,16.7
New Mexico,3,9,25.0
New Mexico State,2,10,16.7
North Carolina,6,7,46.2
North Carolina State,9,3,75.0
North Texas,6,7,46.2
Northern Illinois,9,5,64.3
Northwestern,3,9,25.0
Notre Dame,11,2,84.6
Ohio,3,9,25.0
Ohio State,11,2,84.6
Oklahoma,11,2,84.6
Oklahoma State,12,2,85.7
Old Dominion,6,7,46.2
Oregon,10,4,71.4
Oregon State,7,6,53.8
Penn State,7,6,53.8
Pittsburgh,11,3,78.6
Purdue,9,4,69.2
Rutgers,5,8,38.5
San Diego State,12,2,85.7
San Jose State,5,7,41.7
South Alabama,5,7,41.7
South Carolina,7,6,53.8
South Florida,2,10,16.7
Southern California,4,8,33.3
Southern Mississippi,3,9,25.0
Stanford,3,9,25.0
Syracuse,5,7,41.7
Tennessee,7,6,53.8
Texas,5,7,41.7
Texas A&M,8,4,66.7
Texas Christian,5,7,41.7
Texas State,4,8,33.3
Texas Tech,7,6,53.8
Texas-El Paso,7,6,53.8
Texas-San Antonio,12,2,85.7
Toledo,7,6,53.8
Troy,5,7,41.7
Tulane,2,10,16.7
Tulsa,7,6,53.8
UCLA,8,4,66.7
Utah,10,4,71.4
Utah State,11,3,78.6
Vanderbilt,2,10,16.7
Virginia,6,6,50.0
Virginia Tech,6,7,46.2
Wake Forest,11,3,78.6
Washington,4,8,33.3
Washington State,7,6,53.8
West Virginia,6,7,46.2
Western Kentucky,9,5,64.3
Western Michigan,8,5,61.5
Wisconsin,4,8,33.3
Wyoming,7,6,53.8
